Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
260.53	2600.0	64.304	0.015551	5.3263	6.0923	24.492	40.130	79.057	2598.3	-0.0010011	8.6005e-05	0.13255	liquid
260.60	2600.0	64.290	0.015555	5.3314	6.0976	24.512	40.129	79.067	2597.1	-0.00099661	8.5947e-05	0.13248	liquid
260.67	2600.0	64.276	0.015558	5.3365	6.1028	24.533	40.128	79.078	2595.9	-0.00099212	8.5888e-05	0.13242	liquid
260.73	2600.0	64.262	0.015561	5.3416	6.1081	24.553	40.127	79.088	2594.8	-0.00098762	8.5830e-05	0.13235	liquid
260.80	2600.0	64.248	0.015565	5.3467	6.1134	24.573	40.126	79.099	2593.6	-0.00098312	8.5772e-05	0.13229	liquid
260.87	2600.0	64.234	0.015568	5.3518	6.1187	24.593	40.125	79.109	2592.5	-0.00097861	8.5714e-05	0.13222	liquid
260.93	2600.0	64.220	0.015572	5.3570	6.1239	24.614	40.124	79.120	2591.3	-0.00097410	8.5656e-05	0.13216	liquid
261.00	2600.0	64.206	0.015575	5.3621	6.1292	24.634	40.124	79.131	2590.1	-0.00096958	8.5597e-05	0.13209	liquid
261.07	2600.0	64.192	0.015578	5.3672	6.1345	24.654	40.123	79.141	2589.0	-0.00096505	8.5539e-05	0.13203	liquid
261.13	2600.0	64.178	0.015582	5.3723	6.1398	24.674	40.122	79.152	2587.8	-0.00096052	8.5481e-05	0.13196	liquid
261.20	2600.0	64.164	0.015585	5.3774	6.1450	24.694	40.121	79.163	2586.6	-0.00095598	8.5423e-05	0.13190	liquid
261.27	2600.0	64.150	0.015589	5.3825	6.1503	24.715	40.120	79.173	2585.5	-0.00095143	8.5365e-05	0.13184	liquid
261.33	2600.0	64.136	0.015592	5.3876	6.1556	24.735	40.119	79.184	2584.3	-0.00094688	8.5308e-05	0.13177	liquid
261.40	2600.0	64.121	0.015595	5.3927	6.1609	24.755	40.118	79.195	2583.1	-0.00094232	8.5250e-05	0.13171	liquid
261.47	2600.0	64.107	0.015599	5.3978	6.1662	24.775	40.118	79.205	2582.0	-0.00093775	8.5192e-05	0.13164	liquid
261.53	2600.0	64.093	0.015602	5.4029	6.1714	24.795	40.117	79.216	2580.8	-0.00093318	8.5134e-05	0.13158	liquid
261.60	2600.0	64.079	0.015606	5.4081	6.1767	24.816	40.116	79.227	2579.6	-0.00092860	8.5077e-05	0.13151	liquid
261.67	2600.0	64.065	0.015609	5.4132	6.1820	24.836	40.115	79.237	2578.5	-0.00092401	8.5019e-05	0.13145	liquid
261.73	2600.0	64.051	0.015613	5.4183	6.1873	24.856	40.114	79.248	2577.3	-0.00091942	8.4961e-05	0.13138	liquid
261.80	2600.0	64.037	0.015616	5.4234	6.1926	24.876	40.113	79.259	2576.2	-0.00091482	8.4904e-05	0.13132	liquid
